名称,5日涨跌幅
次新股指数,0.0978095474908
航母指数,0.086975509272
高端装备制造指数,0.0691257019034
通用航空指数,0.0563141432221
水利水电建设指数,0.0560752427476
养老产业指数,0.0560165849579
土地流转指数,0.0533580164498
粤港澳自贸区指数,0.0496438909289
海绵城市指数,0.0495951990149
军民融合指数,0.0494571322714
智能物流指数,0.0493485486748
3D打印指数,0.0489720884587
量子通信指数,0.0478618359695
海南旅游岛指数,0.0477931906427
金控平台指数,0.0462015246899
网络安全指数,0.0455266236339
北部湾自贸区指数,0.0450597489721
卫星导航指数,0.044869836808
天津自贸区指数,0.044281475107
新材料指数,0.0426678725097
参股金融指数,0.0421910086508
大央企重组指数,0.041581241993
油气改革指数,0.0415561608846
民营医院指数,0.0414513876051
上海本地重组指数,0.041441649773
跨境电商指数,0.0412753742148
生物疫苗指数,0.0412235104808
福建自贸区指数,0.0409936260001
黄金珠宝指数,0.0409068565737
生物育种指数,0.0405958268702
抗癌指数,0.0398452692208
互联网营销指数,0.039245492012
金融改革指数,0.0375008433698
基因检测指数,0.0371525676459
IP流量变现指数,0.036665556959
新能源指数,0.0364860959004
文化传媒概念指数,0.0364168221205
装饰园林指数,0.0359875395373
网络游戏指数,0.0358591816141
新三板指数,0.0353449502179
在线教育指数,0.0351869158032
去IOE指数,0.0348711987335
智能汽车指数,0.034524148332
电子商务指数,0.0342447058085
云计算指数,0.0341900697255
重组指数,0.0338263772853
在线旅游指数,0.0336619707353
国家队指数,0.0335951965411
高送转概念指数,0.0334122399412
健康中国指数,0.0330930758501
质押式回购指数,0.0326144952237
网络彩票指数,0.0325724957705
京津冀一体化指数,0.0325581195597
职业教育指数,0.0325344888915
广东国资改革指数,0.032024993816
中日韩自贸区指数,0.0315587453985
动漫指数,0.0314480242047
医药电商指数,0.0310304746452
浦东新区指数,0.0310288270349
沪股通50指数,0.0305028041684
污水处理指数,0.0304931829879
长江经济带指数,0.0304062574886
食品安全指数,0.0302252986953
上海自贸区指数,0.0297868915511
民营银行指数,0.0296714471281
冷链物流指数,0.0294480211048
创投指数,0.0294142056721
证金概念指数,0.0293445546437
智能电视指数,0.0289634271424
第三方支付指数,0.0288526751808
虚拟现实指数,0.0287443716786
一带一路指数,0.0283443291761
三网融合指数,0.0283231223365
互联网金融指数,0.0281374610838
大数据指数,0.0280834295853
汽车后市场指数,0.0276773112298
环保概念指数,0.0276673890022
智慧医疗指数,0.0275957566638
体育指数,0.0275553710012
页岩气和煤层气指数,0.0274629262396
O2O指数,0.0273767050369
移动互联网指数,0.0272150638846
员工持股指数,0.0269013819918
核能核电指数,0.0261572231548
举牌指数,0.0255868159926
无人机指数,0.0251972515629
高铁指数,0.0242146497718
机器人指数,0.0227655205447
ST概念指数,0.0225245664103
安防监控指数,0.0222504387093
智能交通指数,0.0218886353614
稀土永磁指数,0.0217295045271
智能电网指数,0.0214473946471
PM2.5指数,0.0208216674077
高校指数,0.0207694824382
国资改革指数,0.0198949229664
智慧农业指数,0.0188564628219
迪士尼指数,0.0187243140009
特高压指数,0.0184250508872
建筑节能指数,0.018407495189
智能穿戴指数,0.018107166768
垃圾发电指数,0.0181038653931
太阳能发电指数,0.0173449909662
智能IC卡指数,0.0169475531752
智能家居指数,0.0169328556358
苹果指数,0.0167572527473
新疆区域振兴指数,0.0160805000537
风力发电指数,0.0160526107199
西藏振兴指数,0.015771035329
丝绸之路指数,0.0146811535337
生物识别指数,0.0141724814228
工业4.0指数,0.0118272943932
移动转售指数,0.0115153294851
人工智能指数,0.0112773065968
4G指数,0.0108627451372
绿色节能照明指数,0.0104797318492
物联网指数,0.0087316782062
传感器指数,0.00835219482901
蓝宝石指数,0.00762043354676
燃料电池指数,0.00742124057556
移动支付指数,0.00605645195989
宽带提速指数,0.00596236509119
锂电池指数,0.00579540236515
新能源汽车指数,0.00447385627514
能源互联网指数,0.00272153133222
石墨烯指数,0.0017008698724
超级电容指数,-0.000345631244493
充电桩指数,-0.00139253935997
芯片国产化指数,-0.0226307819236
