,开盘价,收盘价,最高价,最低价,涨跌幅,成交额
贸易,5853.74,6013.11,6061.24,5814.07,2.82089686394,45.8302
石油化工,2462.92,2539.3,2547.88,2453.78,2.90398931503,37.1587
计算机设备,3091.92,3211.88,3243.69,3072.35,2.94982123375,173.2849
种植业,3200.94,3316.82,3340.07,3181.89,3.23317575455,39.7664
稀有金属,9388.48,9716.87,9894.68,9321.86,3.48082327843,157.0408
农业综合,3141.18,3263.33,3299.46,3130.76,3.54485487938,2.8552
黄金,7848.17,7972.96,8220.88,7735.98,3.67985343933,102.4379
煤炭开采,2602.92,2716.24,2748.76,2587.79,3.76239132881,64.3208
工业金属,1412.69,1476.4,1493.37,1406.19,5.21364831924,194.6244
船舶制造,2952.81,3118.94,3151.16,2927.09,5.48113393784,49.8613
航天装备,11882.86,12608.4,12734.45,11806.22,5.9548997879,67.5009
地面兵装,13105.68,13919.33,13969.12,12972.02,6.13201093674,25.2438
航空装备,8768.61,9437.63,9513.64,8729.93,6.64796113968,91.7578
