名称,10日涨跌幅
国防军工,0.133231799763
计算机,0.0771021528911
采掘,0.0586695588822
传媒,0.0524052208298
非银金融,0.0520114183675
轻工制造,0.05055779426
建筑装饰,0.0505200415552
机械设备,0.048987880773
通信,0.0485211553579
综合,0.0479452502287
医药生物,0.0477582115649
建筑材料,0.0475837673487
化工,0.0423731106076
有色金属,0.041122735084
商业贸易,0.0348810816034
食品饮料,0.0340219030374
汽车,0.0335517469108
电子,0.0330212733203
家用电器,0.0327116745009
休闲服务,0.0316272968297
纺织服装,0.0300774351311
农林牧渔,0.0298059858721
电气设备,0.0280432819278
公用事业,0.0277173200472
钢铁,0.0242330178875
交通运输,0.0224270891222
房地产,0.0163743300619
银行,0.0119594979392
