,开盘价,收盘价,最高价,最低价,涨跌幅,成交额
迪士尼指数,1899.4714,1931.3762,1934.2507,1896.7547,1.19442224503,46.75069442
特高压指数,2943.5918,3005.0614,3015.361,2940.6684,1.18663406372,32.46236865
页岩气和煤层气指数,1791.6037,1821.7603,1822.537,1791.6037,1.17429828644,32.83926365
在线旅游指数,5201.3757,5301.4911,5315.7613,5198.2193,1.16113674641,16.84558743
丝绸之路指数,1429.1126,1448.9241,1450.4316,1427.9694,1.13284492493,8.23447414
医药电商指数,2309.427,2342.9751,2346.3544,2304.8702,1.06171572208,28.81566844
举牌指数,2955.8886,3009.075,3012.7172,2952.3848,1.04615926743,126.29054387
网络彩票指数,4299.4606,4384.0138,4396.2909,4293.1389,1.04607248306,43.07692592
智能穿戴指数,9567.1623,9708.7013,9735.2959,9546.3175,1.00601398945,78.59852375
蓝宝石指数,2902.8321,2948.9997,2953.0633,2897.4683,0.987942278385,38.61434867
体育指数,2664.0188,2710.6363,2719.3718,2660.2848,0.948578417301,105.24173912
ST概念指数,2141.3496,2164.0668,2165.3082,2136.6863,0.775519132614,31.49895704
互联网营销指数,9055.0505,9193.549,9200.7243,9047.2203,0.696683466434,68.15594992
IP流量变现指数,7236.1221,7342.9583,7361.8627,7226.9528,0.695395946503,72.68306542
冷链物流指数,3092.4949,3158.1148,3186.7643,3084.0423,0.695035099983,19.28896326
